VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 755.861267;nd_seq 149942; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0053;-007 ;phys_accs  17.346058; -97.544525; -959.989258;phys_gyros   0.026843;  0.023019;  0.014858; ; frame_size 4608;video_stream.frame_number 21485;  hdvideo_stream.frame_number: 0 ; 1431377653.775367 

;navdata_time 755.866271;nd_seq 149943; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0051;-007 ;phys_accs  19.118515; -101.052521; -958.989258;phys_gyros   0.052043;  0.043101;  0.019767; ; frame_size 2740;video_stream.frame_number 21486;  hdvideo_stream.frame_number: 0 ; 1431377653.780116 

;navdata_time 755.871429;nd_seq 149944; raw_accs 2072; 2044; 2548; raw_gyros 0040; 0055;-007 ;phys_accs  20.406210; -102.897095; -959.380371;phys_gyros   0.033294; -0.001626;  0.049616; ; frame_size 2740;video_stream.frame_number 21486;  hdvideo_stream.frame_number: 0 ; 1431377653.787944 

;navdata_time 755.876464;nd_seq 149945; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0054;-007 ;phys_accs  20.407274; -103.399910; -959.394531;phys_gyros   0.002958; -0.008630;  0.032119; ; frame_size 2740;video_stream.frame_number 21486;  hdvideo_stream.frame_number: 0 ; 1431377653.793128 

;navdata_time 755.881713;nd_seq 149946; raw_accs 2072; 2044; 2548; raw_gyros 0039; 0052;-007 ;phys_accs  20.386488; -102.800446; -960.111328;phys_gyros  -0.010182; -0.034458;  0.028684; ; frame_size 2740;video_stream.frame_number 21486;  hdvideo_stream.frame_number: 0 ; 1431377653.795690 

